391968999098810388;2394;1211;{391972183770923008: [120, 67], 439180874857316368: [1152, 1134], 417363359743213599: [11, 0], 393120228999168011: [38, 0], 391971420369846273: [635, 6], 393118419656114177: [17, 0], 449960794264698900: [21, 0], 452827631528837121: [44, 1], 404562567592411136: [3, 0], 392039800745623552: [167, 2], 402586546663981067: [11, 0], 392760252811968512: [74, 1], 391971445200257025: [86, 0], 392760790861611011: [1, 0], 392760813062062081: [14, 0]}
424949257225633804;6168;599;{439317593698861056: [334, 321], 427878844091858954: [530, 84], 425279874211643402: [146, 1], 430791016392425482: [157, 3], 424959694520713225: [375, 1], 424971576010604544: [1175, 58], 432249481669509130: [225, 4], 433374508217401357: [1769, 14], 425271016751628291: [29, 0], 442720628362182658: [64, 1], 435509410270412851: [33, 1], 447421148377120779: [129, 0], 432249509666619403: [103, 0], 425689705611526145: [409, 23], 433578115139371019: [17, 1], 424950950877462529: [66, 9], 425323802382303235: [172, 11], 429395529273704469: [108, 12], 438726509860225024: [2, 0], 425272049909628928: [138, 1], 425007719121158145: [18, 1], 433383360258113549: [40, 35], 425330542955986944: [32, 9], 456208031873761290: [97, 9]}
281404403808862210;738;141;{443331380596703232: [1, 0], 443520756132085772: [7, 0], 446784505835945994: [339, 9], 440110031720022027: [197, 40], 442322885097422858: [109, 17], 440852001677639690: [82, 75], 440110851186491393: [2, 0], 449101984604225536: [1, 0]}
333918366865817608;3082;139;{399203240799109120: [454, 1], 333918366865817608: [1886, 54], 404742654149263361: [201, 21], 415216921139740705: [7, 0], 349677352743206913: [292, 10], 399314221718044692: [36, 0], 366530955613044736: [33, 32], 385170986116579338: [53, 3], 390581447888470016: [2, 0], 388753996614991883: [5, 1], 386958541526663179: [106, 12], 400368447894323214: [7, 5]}
356067272730607628;7751;2476;{356067272730607630: [1397, 83], 444626902720839691: [801, 14], 444627755871502356: [5, 0], 438735948650512394: [44, 39], 438745169978851330: [301, 191], 356069284247765003: [625, 27], 444877291605196811: [336, 29], 437232231816101898: [1641, 770], 438749996024856576: [35, 27], 439180322886909972: [229, 166], 445132930851930132: [3, 0], 445527465603891211: [6, 0], 445600533047148564: [20, 5], 445969411573153793: [65, 42], 446013583717826578: [16, 0], 444623177247752233: [48, 46], 444623204108075008: [20, 15], 444623108658298890: [51, 44], 446778287243395102: [37, 3], 446788441326485505: [14, 1], 447032704995950602: [902, 840], 447112847970009089: [563, 2], 358259392464027648: [52, 15], 447499776460587009: [3, 0], 447507738440761344: [58, 5], 447811623114244096: [16, 7], 448215787724079104: [1, 1], 448508400561553409: [31, 7], 448896090712834048: [32, 0], 398405631201116173: [29, 29], 448569826374320129: [151, 24], 449657350111100939: [2, 2], 450332894368628747: [86, 12], 456482228076019712: [113, 21], 411616334775058443: [18, 9]}
397448171346984960;422;44;{397449314328117260: [168, 2], 397448171346984962: [227, 21], 438970078336253962: [26, 21], 439497872363356166: [1, 0]}
402863729479516160;40;0;{402870598428131328: [37, 0], 402873724141043733: [3, 0]}
439174896124297218;316;21;{443313344980713473: [202, 0], 439337125738053642: [2, 0], 439337907187220480: [34, 18], 439337657357828116: [71, 2], 439338008794365955: [2, 0], 439337977366315009: [5, 1]}
422127386772111362;58;47;{422127386772111365: [17, 14], 447373655454908418: [36, 32], 443021286927499279: [5, 1]}
362272596517191691;472;260;{362276648730755073: [45, 9], 447383788993904640: [13, 12], 444510642188320769: [72, 33], 362272596517191693: [84, 3], 362276617164423168: [3, 0], 424920718350745600: [2, 0], 444502756737417217: [46, 36], 444510666812817419: [1, 1], 449864002374205450: [171, 166], 449885996587417600: [3, 0], 449885559800987648: [4, 0], 449885757545644032: [1, 0], 449885789329817600: [1, 0], 449885841221877780: [11, 0], 449885863262814209: [1, 0], 449885912135106571: [1, 0], 449885930677862402: [1, 0], 449886105676808192: [1, 0], 449885668110237696: [1, 0], 449887712338509825: [2, 0], 444510166281617449: [1, 0], 424920003889070080: [1, 0], 444510285332742144: [6, 0]}
331081041001447437;1;0;{331081041001447437: [1, 0]}
379308111774875648;153;75;{379308111774875650: [123, 47], 448177496639143946: [30, 28]}
450008972792037377;179;58;{450043386280280074: [52, 0], 450038817622065163: [95, 57], 450008972792037381: [24, 1], 450038188258492416: [5, 0], 450038620452028428: [1, 0], 451146115039887361: [2, 0]}
449663156873330708;526;25;{449938787209052160: [27, 4], 450318286446526474: [18, 11], 449670538579935242: [72, 0], 450310064696459284: [4, 0], 449943880746401802: [236, 1], 449665953350025228: [35, 0], 450321414466306048: [8, 5], 450314813755883550: [1, 0], 449905532904669184: [89, 4], 450321446649200650: [2, 0], 450006257592696844: [24, 0], 449891437958660097: [8, 0], 450315847433453568: [2, 0]}
